Velocidade do compressor rpm, Vazão volumétrica m3/min,Pressão total Pa,Pressão estática Pa,Pressão dinâmica Pa,Temperatura do ar °C,Umidade do ar  %,Tensão monofasica volts,Corrente monofasica amp,FP,Potencia ativa Wattios,Potência reativa VAR,Valvula
3480,2.21,2558.80,2310.79,248.001,32.897,75.379,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2548.08,2298.33,249.75,32.847,75.321,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2520.65,2270.38,250.268,32.809,75.312,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2481.21,2231.34,249.874,32.781,75.284,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2432.99,2184.38,248.602,32.775,75.152,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2379.75,2133.50,246.25,32.776,75.013,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2328.76,2085.71,243.046,32.752,75.049,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2285.43,2045.98,239.452,32.717,75.285,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2254.89,2019.10,235.793,32.703,75.557,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2241.13,2008.80,232.332,32.721,75.697,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2243.21,2014.32,228.891,32.745,75.699,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2258.81,2033.43,225.382,32.76,75.657,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2286.90,2064.83,222.063,32.778,75.65,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2325.24,2106.19,219.055,32.813,75.68,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2371.56,2155.01,216.548,32.873,75.674,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2422.35,2207.65,214.701,32.938,75.631,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2472.75,2259.04,213.712,32.95,75.323,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2519.89,2306.13,213.762,32.885,74.683,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.19,2561.69,2347.20,214.485,32.809,74.204,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.19,2595.62,2379.89,215.726,32.785,74.314,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.19,2619.22,2401.71,217.519,32.808,75.018,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.19,2636.25,2416.57,219.685,32.802,75.882,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.19,2650.58,2428.70,221.882,32.728,76.261,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.19,2660.36,2436.61,223.753,32.677,76.144,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2666.60,2441.72,224.874,32.725,75.922,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2671.06,2445.83,225.227,32.817,75.743,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2673.42,2448.36,225.059,32.881,75.687,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2673.73,2449.38,224.353,32.891,75.691,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2671.45,2448.25,223.205,32.875,75.687,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2665.53,2443.94,221.59,32.883,75.669,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2656.80,2437.26,219.538,32.911,75.693,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2644.83,2427.53,217.292,32.941,75.78,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2629.08,2413.86,215.217,32.93,75.902,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2611.69,2397.87,213.825,32.858,76.175,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2593.16,2379.90,213.255,32.804,76.615,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2573.08,2359.73,213.347,32.839,76.98,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2553.00,2339.18,213.821,32.894,77.083,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2535.08,2320.52,214.555,32.931,76.808,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2521.19,2305.31,215.878,32.944,76.269,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2508.75,2291.17,217.586,32.928,75.842,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2493.81,2274.87,218.942,32.896,75.738,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2476.80,2257.37,219.432,32.825,76.217,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2457.85,2239.15,218.692,32.722,77.14,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2437.08,2220.65,216.431,32.674,77.751,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2412.81,2200.18,212.633,32.69,77.593,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2383.79,2176.42,207.364,32.712,76.835,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2352.67,2151.77,200.898,32.74,76.069,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2322.27,2128.24,194.032,32.79,75.763,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2292.15,2104.59,187.564,32.859,75.74,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2261.39,2079.28,182.109,32.908,75.717,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2232.29,2053.93,178.357,32.914,75.73,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2208.85,2032.15,176.706,32.878,75.75,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2194.14,2017.01,177.126,32.824,75.757,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2188.55,2009.26,179.287,32.784,75.81,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2191.27,2008.38,182.891,32.778,75.886,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2201.98,2014.33,187.643,32.796,75.909,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2220.69,2027.38,193.313,32.816,75.833,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2244.97,2045.14,199.832,32.829,75.662,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2271.90,2064.98,206.917,32.852,75.517,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2302.65,2088.30,214.353,32.895,75.468,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2337.39,2115.39,221.998,32.944,75.485,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2371.37,2141.82,229.545,32.982,75.567,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2395.06,2158.63,236.428,32.972,75.672,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2398.73,2156.52,242.205,32.91,75.751,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2383.64,2136.81,246.826,32.834,75.806,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2355.65,2105.40,250.248,32.786,75.856,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.23,2318.31,2066.13,252.178,32.797,75.918,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.23,2275.69,2023.12,252.568,32.853,75.952,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.23,2234.27,1982.61,251.669,32.877,75.905,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.23,2199.94,1950.11,249.832,32.842,75.775,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2174.69,1927.42,247.27,32.792,75.634,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2160.05,1915.95,244.099,32.778,75.53,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2157.33,1916.84,240.492,32.821,75.362,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2166.99,1930.14,236.853,32.888,75.066,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2185.90,1952.04,233.851,32.912,74.784,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2210.32,1978.32,231.997,32.874,74.716,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2240.56,2009.43,231.124,32.837,74.927,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.22,2273.24,2042.76,230.476,32.827,75.239,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2302.09,2072.48,229.602,32.845,75.416,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2326.35,2097.86,228.484,32.874,75.46,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2343.33,2116.08,227.251,32.887,75.494,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2349.19,2123.14,226.055,32.951,75.554,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2349.61,2124.39,225.215,33.08,75.575,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2352.39,2127.42,224.972,33.094,75.632,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2358.96,2133.50,225.461,32.93,75.667,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2368.29,2141.40,226.887,32.692,75.494,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2379.73,2150.49,229.233,32.523,75.26,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2391.65,2159.55,232.1,32.54,75.155,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2403.50,2168.53,234.967,32.665,75.216,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2416.24,2178.92,237.328,32.751,75.402,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2430.38,2191.49,238.896,32.778,75.478,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2445.90,2206.02,239.878,32.768,75.423,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.21,2462.98,2222.23,240.748,32.744,75.428,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2478.06,2236.54,241.515,32.758,75.435,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2487.36,2245.84,241.523,32.807,75.391,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2490.54,2250.14,240.404,32.837,75.349,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2484.67,2246.35,238.323,32.824,75.364,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2471.24,2235.51,235.726,32.803,75.483,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2455.23,2222.14,233.094,32.795,75.653,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2436.16,2205.38,230.778,32.796,75.729,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2416.74,2187.90,228.844,32.796,75.632,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2404.09,2176.79,227.297,32.788,75.441,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2403.13,2176.72,226.41,32.791,75.293,221.8,05.01,0.57,641.8,905.8,Aberta
3480,2.20,2415.88,2189.52,226.352,32.783,75.243,221.8,05.01,0.57,641.8,905.8,Aberta
3480,1.99,2473.29,2293.37,179.92,32.783,75.368,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2512.15,2337.94,174.207,32.766,75.164,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2558.39,2389.75,168.641,32.737,74.816,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2609.36,2445.46,163.893,32.686,74.481,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2660.79,2500.40,160.394,32.664,74.388,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2709.21,2550.68,158.526,32.691,74.62,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2753.01,2594.50,158.51,32.753,75.104,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2789.16,2629.00,160.163,32.827,75.611,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2813.38,2650.64,162.738,32.854,75.939,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2825.85,2660.29,165.567,32.842,75.994,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2831.08,2662.87,168.212,32.822,75.785,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2831.82,2661.49,170.333,32.786,75.559,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2827.70,2655.78,171.921,32.749,75.528,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2818.35,2645.55,172.801,32.741,75.597,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2804.49,2631.37,173.126,32.779,75.594,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2786.75,2613.75,173.006,32.84,75.533,221.7,4.9,0.57,628.8,889.4,P1
